CID,MW,MF,TPSA,XL,HAC,HBDC,HBAC,RBC,SMILES,Charge,CBUC
2430380,293.7,C14H12ClNO4,68.5,2.6,20,1,4,6,C1=CC=C(C(=C1)CNC(=O)COC(=O)C2=CC=CO2)Cl,0,1
2529296,316.33,C17H17FN2O3,67.4,2.7,23,2,4,5,COC1=CC=C(C=C1)CCC(=O)NNC(=O)C2=CC=C(C=C2)F,0,1
2141776,325.4,C19H19NO4,55.8,3.3,24,0,4,6,CC1=C2C(=CC=C1)C(=O)C(=O)N2CCCOC3=CC=CC=C3OC,0,1
20908487,288.33,C13H12N4O2S,109,1.5,20,2,5,5,C1=CC2=C(N=C1)N=C(N2)SCC(=O)NCC3=CC=CO3,0,1
2763482,220.23,C10H12N4O2,76.4,0.2,16,1,4,1,C1CCN(CC1)N2C=C(C(=O)NC2=O)C#N,0,1
16301379,334.4,C16H22N4O2S,89.5,2.4,23,0,5,5,CN1C(=NN=C1SCC(=O)N(C)C2CCCCC2)C3=CC=CO3,0,1
3964148,400.5,C22H28N2O5,85.9,2.5,29,2,5,11,COC1=CC=C(C=C1)NC(=O)CCCC(=O)NCCC2=CC(=C(C=C2)OC)OC,0,1
4065113,310.4,C18H18N2OS,55.6,3.7,22,0,2,3,CC1=CC(=CC(=C1)N2C(=O)CN(C2=S)CC3=CC=CC=C3)C,0,1
823816,347.4,C20H17N3OS,86.1,4.8,25,2,3,3,CC1=NC(=CC=C1)NC(=S)NC(=O)C2=CC=C(C=C2)C3=CC=CC=C3,0,1
2888388,316.4,C20H16N2O2,52.6,4,24,2,3,2,C1=CC=C(C=C1)N2C(NC3=CC=CC=C3C2=O)C4=CC(=CC=C4)O,0,1
6494136,345.3,C18H19NO6,90.9,1.4,25,1,6,6,COC1=CC=CC(=C1)NC(=O)COC(=O)C2C3CC4C2C(=O)OC4C3,0,1
2813497,268.3,C15H12N2OS,69.4,3.5,19,2,2,2,C1=CC=C(C=C1)NC(=O)NC2=CSC3=CC=CC=C32,0,1
5130652,322.4,C17H14N4OS,82,3.3,23,0,5,4,CN1C2=CC=CC=C2N=C1SCC3=NN=C(O3)C4=CC=CC=C4,0,1
