,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
MMY6,75412.0,8.329542684934072,2.7802781018433604,0.5997,6.353566997908842,8.225845305813653,10.106607740577523,21.691,0.22744193079691036,-0.2682192971974118
MMY,75412.0,8.871859412330227,2.6235548939813906,1.95,6.917855940447511,8.764401805605843,10.755872959709667,21.691,0.27250627871652605,-0.20460423132646977
SY6,75412.0,19.951005993642564,0.340675578983479,18.54313007039263,19.736331443639244,19.951519082710185,20.16793401472397,21.60480041567365,0.036665001503447654,0.5784172608976479
SY,75412.0,19.978089648410023,0.2798134680003706,18.816555977812108,19.79398383622803,19.977070836862204,20.16670376029814,21.195048354011234,-0.007198872868169751,0.14463306917503127
Volume_1,75412.0,6.513349475081402,45.30144671805097,0.0,1.1649595199515297e-08,0.0830400070369596,0.8671579490463698,3736.066643886116,29.548401820371737,1634.7713508909405
Volume_2,75412.0,0.040150462054410634,0.25446299415270945,0.0,7.923022318216118e-06,0.00040837181650830003,0.0063730267516102,20.57729153630068,26.67207727477594,1313.2095480501312
MMX6_3D,75412.0,10.358870572556853,2.2986957890602495,2.1454,8.751050000000001,10.24805,11.837993626878221,20.569,0.2787928524846066,0.048060197735802834
MMX_3D,75412.0,12.383893740718479,2.243225356706839,4.0654,10.807275,12.25825367032753,13.837384607194037,22.39,0.3102542721955199,0.025265110279743652
SX6_3D,75412.0,20.01194737642134,0.2947453184370858,18.215058811957675,19.83547006314125,20.007984412130433,20.186076586856824,21.68398273226644,0.03299514318623396,1.2471164313281164
SX_3D,75412.0,20.01501852144667,0.2435265259910679,18.995192047213088,19.862335429065922,20.015283587256192,20.17286867887704,21.03285013724216,-0.051947363608577574,0.23278990876563244
MMY6_3D,75412.0,4.705067617437769,1.4098078533593044,0.2489,3.6149050949187362,4.63002248595838,5.63132040639612,11.3365,0.47058882757950843,-0.006610525550402091
MMY_3D,75412.0,6.718878620279316,1.335732102527739,2.5209,5.7043,6.598220425285422,7.5722083223479855,13.2826,0.5282170990675388,0.12850023915157216
